client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_method,payment_date,pay_flag,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,last_update,wf_state
HOL,SUP0021,10112,1,INVOICE,29/05/2025,03/10/2024,31/01/2026,target seamless solutions,14887.31,14887.31,GBP,5168.19,5168.19,0,D,N,BACS,,N,5,10,INV-35362,,PO8383,,EX,1,24/01/2026,W
HOC,SUP0042,10113,1,INVOICE,31/01/2026,26/08/2025,07/01/2026,synergize compelling platforms,28494.82,28494.82,GBP,15818.77,15818.77,0,D,R,BACS,,N,6,3,INV-53458,,PO8583,,Z0,1,01/01/2026,W
HOL,SUP0035,10114,1,INVOICE,23/11/2025,03/11/2024,27/12/2025,incentivize enterprise networks,9200.62,10580.71,EUR,6667.13,6667.13,0,D,N,BACS,,N,9,11,,,PO7637,,S20,1.2813,24/12/2025,T
HOC,EC_M013,10115,1,INVOICE,17/07/2025,11/10/2025,05/10/2025,seize distributed technologies,44752.3,44752.3,GBP,30331.94,30331.94,0,D,P,BACS,,N,8,9,INV-62007,,PO1173,,EX,1,07/12/2025,T
HOC,EC_M009,10116,1,INVOICE,13/11/2024,25/09/2024,01/11/2025,utilize impactful niches,7448.35,7448.35,GBP,3064.67,3064.67,0,D,P,BACS,,N,4,8,INV-44649,,PO1701,,EX,1,17/01/2026,T
HOC,EC_M004,10117,1,INVOICE,12/12/2025,07/02/2025,23/09/2025,implement scalable metrics,45936.15,45936.15,GBP,42127.42,42127.42,0,D,P,BACS,,N,10,9,INV-59369,,PO6985,,S20,1,28/12/2025,T
HOC,SUP0087,10118,1,INVOICE,10/08/2025,29/05/2025,01/10/2025,extend rich technologies,48647.37,48647.37,GBP,22184.63,22184.63,0,D,N,INT,,N,3,8,INV-20104,,PO5600,,S20,1,12/02/2026,T
HOC,SUP0037,10119,1,INVOICE,22/02/2025,02/06/2025,04/10/2025,revolutionize bleeding-edge metrics,33224.93,33224.93,GBP,19610.34,19610.34,0,D,N,CHAPS,,N,1,4,,,PO3639,,EX,1,27/02/2026,W
HOC,SUP0041,10120,1,INVOICE,02/04/2025,24/09/2024,28/02/2026,exploit synergistic e-services,3267.64,3757.79,USD,1571.02,1571.02,0,D,N,BACS,,N,8,10,INV-73133,,PO7730,,EX,1.2641,09/02/2026,W
HOC,EC_M009,10121,1,INVOICE,06/04/2025,29/12/2025,26/11/2025,whiteboard dynamic e-business,13593.77,13593.77,GBP,10969.23,10969.23,0,D,N,BACS,,N,1,4,INV-76107,,PO3450,,S20,1,03/01/2026,W
HOL,SUP0013,10122,1,INVOICE,02/03/2025,28/11/2025,17/10/2025,morph global functionalities,43948.76,43948.76,GBP,29533.61,29533.61,0,D,N,CHAPS,,N,9,7,INV-15693,,PO8028,,Z0,1,15/01/2026,T
HOC,EC_M019,10123,1,INVOICE,30/06/2025,26/11/2025,04/01/2026,transform revolutionary content,40328.74,40328.74,GBP,37727.59,37727.59,0,D,N,BACS,,N,10,9,INV-34775,,,,S20,1,21/12/2025,W
HOC,SUP0037,10124,1,INVOICE,08/07/2025,01/08/2025,15/11/2025,generate visionary paradigms,26228.21,26228.21,GBP,14753.92,14753.92,0,D,I,BACS,,N,5,9,INV-57925,,PO7511,,Z0,1,24/12/2025,W
HOC,EC_M005,10125,1,INVOICE,13/04/2025,10/08/2025,23/11/2025,benchmark bricks-and-clicks channels,9346.62,10748.61,EUR,6461.93,6461.93,0,D,N,BACS,,N,8,12,INV-23143,,PO7562,,EX,1.2228,07/12/2025,
HOL,SUP0043,10126,1,INVOICE,06/06/2025,16/10/2024,10/02/2026,evolve distributed vortals,19760.63,19760.63,GBP,14723.91,14723.91,0,D,N,BACS,,N,4,6,INV-14948,,PO7564,,EX,1,27/01/2026,W
HOC,SUP0017,10127,1,INVOICE,22/10/2025,24/11/2024,23/10/2025,extend next-generation ROI,47312.93,47312.93,GBP,41359.08,41359.08,0,D,P,BACS,,N,1,10,INV-40365,,PO1590,,EX,1,04/03/2026,T
HOC,SUP0027,10128,1,INVOICE,08/04/2025,23/10/2025,05/09/2025,aggregate end-to-end users,49842.45,49842.45,GBP,42155.3,42155.3,0,D,N,BACS,,N,9,5,INV-83284,,PO6703,,Z0,1,04/02/2026,W
HOL,SUP0055,10129,1,INVOICE,19/05/2025,10/12/2025,27/10/2025,matrix bricks-and-clicks deliverables,23010.57,23010.57,GBP,13409.86,13409.86,0,D,P,BACS,,N,2,9,INV-80504,,PO5098,,Z0,1,22/12/2025,T
HOL,SUP0063,10130,1,INVOICE,08/04/2025,18/11/2024,,deliver real-time communities,37994.93,37994.93,GBP,36964.02,36964.02,0,D,N,BACS,,N,2,7,INV-38885,,PO4767,CN522,Z0,1,28/12/2025,W
HOC,SUP0005,10131,1,INVOICE,15/01/2025,09/12/2024,14/10/2025,morph compelling technologies,35190.52,35190.52,GBP,17044.34,17044.34,0,D,N,CHAPS,,N,6,6,INV-85197,,PO4115,,S20,1,02/02/2026,T
HOL,SUP0066,10132,1,INVOICE,15/11/2025,31/12/2024,12/02/2026,extend cross-platform initiatives,10735.54,10735.54,GBP,4744.43,4744.43,0,D,R,INT,,N,1,9,INV-73214,,PO6167,,EX,1,28/01/2026,T
HOL,SUP0054,10133,1,INVOICE,13/04/2025,29/11/2025,16/11/2025,target intuitive eyeballs,49227.54,49227.54,GBP,46333.2,46333.2,0,D,R,INT,,N,1,9,INV-99959,,PO8490,CN815,EX,1,05/01/2026,T
HOC,SUP0005,10134,1,INVOICE,26/03/2025,18/11/2024,15/10/2025,engineer magnetic methodologies,1085.09,1085.09,GBP,485.61,485.61,0,D,P,BACS,,N,5,8,INV-54970,,PO9171,,Z0,1,05/12/2025,T
HOL,SUP0085,10135,1,INVOICE,14/04/2025,16/02/2025,07/02/2026,drive impactful schemas,42789.14,42789.14,GBP,21212.32,21212.32,0,D,P,BACS,,N,9,7,INV-35698,,PO3450,,S20,1,10/02/2026,T
HOC,EC_M007,10136,1,INVOICE,25/08/2025,27/12/2024,30/12/2025,disintermediate e-business interfaces,7156.35,7156.35,GBP,6621.69,6621.69,0,D,I,INT,,N,1,7,INV-31409,,,CN587,EX,1,20/02/2026,T
HOC,SUP0079,10137,1,INVOICE,10/08/2025,23/01/2026,05/12/2025,implement back-end users,13358.57,13358.57,GBP,7376.8,7376.8,0,D,I,BACS,,N,10,10,INV-80574,,PO5663,,EX,1,29/12/2025,T
HOC,EC_M001,10138,1,INVOICE,20/11/2025,15/11/2024,08/12/2025,embrace ubiquitous relationships,44536.81,44536.81,GBP,25241.22,25241.22,0,D,R,INT,,N,10,7,INV-19351,,,,Z0,1,23/01/2026,T
HOC,SUP0067,10139,1,CREDIT,10/10/2024,01/08/2025,22/10/2025,innovate back-end applications,-30466.56,30466.56,GBP,-17573.68,17573.68,0,C,R,CHAPS,,N,3,3,INV-26389,10060,PO2311,,Z0,1,19/02/2026,
HOL,SUP0018,10140,1,INVOICE,10/05/2025,07/01/2025,06/02/2026,synergize out-of-the-box platforms,46871.29,46871.29,GBP,29586.57,29586.57,0,D,P,INT,,N,3,2,INV-61097,,PO5053,,Z0,1,14/12/2025,T
HOL,SUP0038,10141,1,INVOICE,22/10/2024,20/08/2025,05/11/2025,innovate bleeding-edge info-mediaries,26573.75,26573.75,GBP,11145.71,11145.71,0,D,I,BACS,,N,9,8,INV-80685,,PO8480,,EX,1,22/12/2025,T
HOC,EC_M011,10142,1,CREDIT,09/10/2025,17/12/2024,16/12/2025,utilize world-class e-business,-32169.43,32169.43,GBP,-21670.9,21670.9,0,C,P,CHAPS,,N,5,3,INV-10012,10133,PO3233,,Z0,1,26/12/2025,
HOC,EC_M006,10143,1,INVOICE,06/09/2025,03/04/2025,03/03/2026,enhance innovative functionalities,47374.4,47374.4,GBP,30032.86,30032.86,0,D,I,BACS,,N,4,7,INV-67292,,PO3675,,EX,1,14/01/2026,T
HOL,SUP0059,10144,1,INVOICE,25/10/2024,26/03/2025,10/09/2025,transition plug-and-play content,13517.52,13517.52,GBP,8050.6,8050.6,0,D,P,BACS,,N,11,12,INV-45235,,PO2121,,Z0,1,18/02/2026,T
HOC,EC_M001,10145,1,INVOICE,08/01/2026,24/09/2024,16/01/2026,visualize transparent initiatives,13970.64,13970.64,GBP,10281.38,10281.38,0,D,N,BACS,,N,5,3,INV-11075,,PO3468,,S20,1,20/01/2026,T
HOC,SUP0075,10146,1,INVOICE,17/01/2026,17/08/2025,26/01/2026,enable revolutionary paradigms,39393.4,39393.4,GBP,25561.47,25561.47,0,D,N,BACS,,N,7,2,INV-33803,,PO5097,CN948,S20,1,17/02/2026,T
HOL,SUP0088,10147,1,INVOICE,12/06/2025,22/01/2025,22/10/2025,monetize rich initiatives,38675.65,38675.65,GBP,23594.96,23594.96,0,D,N,CHAPS,,N,7,11,INV-52344,,PO1691,,EX,1,28/12/2025,
HOC,SUP0064,10148,1,INVOICE,26/02/2025,14/10/2025,03/01/2026,transform web-enabled users,24320.86,24320.86,GBP,12383.43,12383.43,0,D,R,BACS,,N,1,3,INV-86637,,PO4982,,S20,1,20/12/2025,T
HOC,SUP0042,10149,1,INVOICE,23/03/2025,13/08/2025,25/09/2025,enable integrated bandwidth,18884.23,18884.23,GBP,6848.1,6848.1,0,D,N,BACS,,N,6,11,INV-80300,,PO3061,,Z0,1,23/12/2025,T
HOC,SUP0001,20001,1,INVOICE,13/10/2025,15/12/2025,,disintermediate next-generation applications,8152.49,8152.49,GBP,8152.49,8152.49,0,D,N,BACS,,N,6,6,INV-59514,,PO6868,,S20,1,09/02/2026,T
HOC,SUP0001,20002,1,INVOICE,23/01/2026,01/10/2025,18/01/2026,extend B2C e-markets,1779.96,1779.96,GBP,1779.96,1779.96,0,D,N,BACS,,N,6,6,,,PO5828,,S20,1,15/02/2026,T
HOC,SUP0001,20003,1,INVOICE,16/12/2025,10/09/2025,21/02/2026,visualize mission-critical models,,7121.86,GBP,,7121.86,0,D,N,BACS,,N,6,6,INV-81253,,PO6696,,S20,1,22/02/2026,T
HOC,SUP0001,20004,1,CREDIT,24/11/2025,14/09/2025,22/02/2026,re-intermediate transparent niches,-500,7457.82,GBP,-500,7457.82,0,C,N,BACS,,N,6,6,INV-19027,,PO9702,,S20,1,28/02/2026,T
HOC,SUP0001,20005,1,INVOICE,27/11/2025,17/09/2025,09/02/2026,integrate out-of-the-box e-tailers,4769.15,4769.15,GBP,4769.15,4769.15,0,D,P,BACS,,N,6,6,INV-69517,,PO1011,,S20,1,08/02/2026,T
HOC,SUP0001,20006,1,INVOICE,28/10/2025,17/12/2025,07/01/2026,grow visionary action-items,6561.25,6561.25,GBP,6561.25,6561.25,0,D,N,BACS,,N,6,6,INV-12453,,,,S20,1,08/02/2026,T
HOC,SUP0001,20007,1,INVOICE,12/11/2025,17/01/2026,21/01/2026,iterate bricks-and-clicks platforms,-750,6391.87,GBP,-750,6391.87,0,D,N,BACS,,N,6,6,INV-80642,,PO7348,,S20,1,26/02/2026,T
HOC,SUP0001,20008,1,INVOICE,28/09/2025,14/09/2025,23/02/2026,innovate out-of-the-box users,5478.66,,EUR,5478.66,5478.66,0,D,N,BACS,,N,6,6,INV-90352,,PO5638,,S20,1.15,22/02/2026,T
HOC,SUP0001,20009,1,INVOICE,12/11/2025,05/01/2026,26/02/2026,productize synergistic markets,4393.14,4393.14,GBP,0,4393.14,0,D,N,BACS,,N,6,6,INV-78576,,PO2092,,S20,1,03/03/2026,T
HOC,SUP0001,20010,1,INVOICE,31/12/2025,19/12/2025,08/01/2026,strategize efficient solutions,1000,8434.34,GBP,1500,8434.34,0,D,N,BACS,,N,6,6,INV-14099,,PO4310,,S20,1,01/03/2026,T
HOC,SUP0001,20011,1,INVOICE,08/01/2026,25/01/2026,04/12/2025,embrace ubiquitous infrastructures,5000,5111.02,GBP,5000,5111.02,0,D,N,BACS,,N,6,6,INV-94115,,PO7366,,S20,1,11/02/2026,T
HOC,SUP0001,20012,1,CREDIT,29/11/2025,21/01/2026,09/02/2026,repurpose killer experiences,-1000,5154.14,GBP,-1000,5154.14,0,C,N,BACS,,N,6,6,INV-38930,99999,PO2161,,S20,1,04/03/2026,T
HOC,EC_NEG,20013,1,INVOICE,11/12/2025,30/09/2025,04/01/2026,whiteboard vertical markets,1000,9337,GBP,1000,9337,0,D,N,BACS,,N,6,6,INV-20480,,PO8668,,S20,1,07/02/2026,T
HOC,EC_NEG,20014,1,CREDIT,02/11/2025,13/09/2025,16/01/2026,generate open-source action-items,-3000,6569.71,GBP,-3000,6569.71,0,C,N,BACS,,N,6,6,INV-64519,20013,PO7046,,S20,1,07/02/2026,T
HOC,SUP0001,20015,1,INVOICE,26/11/2025,20/09/2025,02/03/2026,enable best-of-breed partnerships,7230.12,7230.12,GBP,7230.12,7230.12,0,D,N,BACS,,N,6,6,INV-19225,,PO5979,,S20,1,02/03/2026,W
HOC,SUP0001,20016,1,INVOICE,23/09/2025,09/01/2026,26/02/2026,e-enable best-of-breed applications,9473.73,9473.73,USD,9473.73,9473.73,0,D,N,BACS,,N,6,6,INV-40279,,PO9710,,S20,,20/02/2026,T
HOC,SUP0001,20017,1,INVOICE,21/09/2025,01/12/2025,27/01/2026,architect bleeding-edge supply-chains,2299.87,2299.87,GBP,2299.87,2299.87,0,D,N,BACS,,N,6,6,INV-DUPE-001,,PO3931,,S20,1,15/02/2026,T
HOC,SUP0001,20018,1,INVOICE,19/10/2025,06/01/2026,14/01/2026,revolutionize B2B metrics,7617.35,7617.35,GBP,7617.35,7617.35,0,D,N,BACS,,N,6,6,INV-DUPE-001,,PO6864,,S20,1,11/02/2026,T
HOC,EC_M020,20019,1,INVOICE,16/10/2025,07/01/2026,22/02/2026,implement efficient eyeballs,4857.85,4857.85,GBP,4857.85,4857.85,0,D,N,BACS,,N,6,6,INV-33644,,PO7579,,S20,1,16/02/2026,T
HOC,GHOST001,20020,1,INVOICE,24/12/2025,19/09/2025,25/01/2026,enable dot-com ROI,3706.37,3706.37,GBP,3706.37,3706.37,0,D,N,BACS,,N,6,6,INV-68066,,PO6772,,S20,1,04/02/2026,T
