client,house,voucher_no,sequence_no,account,fiscal_year,period,trans_date,voucher_date,voucher_type,amount,cur_amount,currency,dc_flag,update_flag,status,apar_id,apar_type,tax_code,tax_system,description,ext_inv_ref,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CF,HOC,VHOC00029,2,2200,2026,202603,2026-03-11,2026-03-12,REVERSAL,7991.9,,GBP,1,1,,,,,,Veniam officia culpa ut eos provident impedit.,,CC201,S301,,,,,,2026-01-14,mjones,
CF,HOC,VHOC00029,3,6010,2026,202603,2026-03-11,2026-03-12,REVERSAL,24061.38,,GBP,1,1,,,,,,Voluptatem doloribus mollitia fugit ullam magni sunt.,,CC200,S123,,,,,,2026-03-31,mjones,
CF,HOC,VHOC00029,4,7010,2026,202603,2026-03-11,2026-03-12,REVERSAL,44995.97,,GBP,2,2,,,,,,Eius ratione impedit vel.,,CC201,S123,,,,,,2026-01-02,mjones,
CM,HOC,VHOC00030,1,8000,2026,202602,2026-02-15,2026-02-16,BACS,32367.65,,GBP,1,1,,,,,,Eaque a quas saepe neque optio sint.,,CC110,S102,,,,,,2026-03-22,swilliams,
CM,HOC,VHOC00030,2,4000,2026,202602,2026-02-15,2026-02-16,BACS,5306.98,,GBP,1,1,,,,,,Molestiae exercitationem mollitia molestiae iste eum deleniti.,,CC210,S101,,,,,,2026-03-16,swilliams,
CM,HOC,VHOC00030,3,2000,2026,202602,2026-02-15,2026-02-16,BACS,4050.9,,GBP,1,1,,,,,,Nemo doloremque quod aliquam quia.,,CC101,S123,,,,,,2026-02-11,swilliams,
CM,HOC,VHOC00030,4,2100,2026,202602,2026-02-15,2026-02-16,BACS,9602.35,,GBP,2,2,,,,,,Harum optio reprehenderit voluptatem libero alias.,,CC120,S103,,,,,,2026-03-11,swilliams,
CM,HOC,VHOC00030,5,4100,2026,202602,2026-02-15,2026-02-16,BACS,32123.18,,GBP,2,2,,,,,,Vitae ex aut sapiente aut tenetur accusamus.,,CC121,S103,,,,,,2026-02-02,swilliams,
CF,HOC,VHOC00031,1,1000,2026,202601,2026-01-29,2026-02-01,ACCRUAL,1784.12,2315.2,EUR,1,1,,,,,,Illum omnis culpa iusto.,,CC121,S102,,,,,,2026-02-28,dbaker,
CF,HOC,VHOC00031,2,3100,2026,202601,2026-01-29,2026-02-01,ACCRUAL,21898.28,28188.62,EUR,1,1,,,,,,Excepturi possimus officiis sequi sequi.,,CC201,S200,,,,,,2026-01-14,dbaker,
CF,HOC,VHOC00031,3,6100,2026,202601,2026-01-29,2026-02-01,ACCRUAL,23682.4,28842.07,EUR,2,2,,,,,,Fugit et quaerat quis sit alias architecto.,,CC200,S110,,,,,,2026-03-24,dbaker,
CA,HOC,VHOC00032,1,5010,2026,202603,2026-03-05,2026-03-05,REVERSAL,2895.59,,GBP,1,1,,,,,,Placeat enim dolorem at voluptatem quis provident aut.,,CC200,S210,,,,,,2026-03-17,dbaker,
CA,HOC,VHOC00032,2,2000,2026,202603,2026-03-05,2026-03-05,REVERSAL,17815.05,,GBP,1,1,,,,,,Possimus temporibus aliquid recusandae.,,CC201,S102,,,,,,2026-03-04,dbaker,
CA,HOC,VHOC00032,3,3100,2026,202603,2026-03-05,2026-03-05,REVERSAL,6303.98,,GBP,2,2,,,,,,Facere inventore doloribus illum placeat.,,CC100,S200,,,,,,2026-01-28,dbaker,
CA,HOC,VHOC00032,4,3000,2026,202603,2026-03-05,2026-03-05,REVERSAL,13292.81,,GBP,2,2,,,,,,Cumque aspernatur sit nulla.,,CC200,S102,,,,,,2026-03-29,dbaker,
CA,HOC,VHOC00032,5,7000,2026,202603,2026-03-05,2026-03-05,REVERSAL,1113.85,,GBP,2,2,,,,,,Libero nesciunt doloremque odit itaque.,,CC200,S101,,,,,,2026-02-20,dbaker,
CF,HOC,VHOC00033,1,6010,2026,202603,2026-03-18,2026-03-18,JRNL,21373.0,,GBP,1,1,,,,,,Tempore iure enim.,,CC120,S102,,,,,,2026-03-12,jsmith,
CF,HOC,VHOC00033,2,2200,2026,202603,2026-03-18,2026-03-18,JRNL,11934.05,,GBP,1,1,,,,,,Culpa ipsam exercitationem nesciunt odit incidunt dolorum.,,CC120,S200,,,,,,2026-01-19,jsmith,
CF,HOC,VHOC00033,3,6100,2026,202603,2026-03-18,2026-03-18,JRNL,33307.05,,GBP,2,2,,,,,,Dicta harum laboriosam dolores nemo.,,CC100,S123,,,,,,2026-01-19,jsmith,
CA,HOC,VHOC00034,1,4010,2026,202601,2026-01-04,2026-01-05,APINV,33222.35,,GBP,1,1,,,,,,Eos praesentium accusantium rerum id ab sint.,,CC100,S103,,,,,,2026-02-03,mjones,
CA,HOC,VHOC00034,2,5100,2026,202601,2026-01-04,2026-01-05,APINV,33222.35,,GBP,2,2,,CUST9619,R,,,Tenetur quia rerum.,INV18330,CC210,S200,,,,,,2026-03-07,mjones,
CM,HOC,VHOC00035,1,5100,2026,202603,2026-03-26,2026-03-28,BACS,2052.0,,GBP,1,1,,CUST7580,R,,,Quod dolorem reiciendis dolor deleniti.,INV24150,CC210,S102,,,,,,2026-01-11,kpatel,
CM,HOC,VHOC00035,2,2000,2026,202603,2026-03-26,2026-03-28,BACS,34992.56,,GBP,1,1,,,,,,Perspiciatis quam omnis saepe occaecati.,,CC101,S103,,,,,,2026-02-05,kpatel,
CM,HOC,VHOC00035,3,6010,2026,202603,2026-03-26,2026-03-28,BACS,10253.51,,GBP,1,1,,,,,,Officia est ipsam neque quasi at eos quibusdam.,,CC200,S210,,,,,,2026-03-18,kpatel,
CM,HOC,VHOC00035,4,5010,2026,202603,2026-03-26,2026-03-28,BACS,47298.07,,GBP,2,2,,,,,,Dicta ratione soluta facilis.,,CC201,S102,,,,,,2026-03-31,kpatel,
CA,HOC,VHOC00036,1,4010,2026,202602,2026-02-13,2026-02-16,APINV,22851.97,,GBP,1,1,,,,,,Totam rerum ducimus repudiandae laboriosam rem quia.,,CC121,S200,,,,,,2026-01-20,dbaker,
CA,HOC,VHOC00036,2,5100,2026,202602,2026-02-13,2026-02-16,APINV,5222.07,,GBP,2,2,,,,,,Rem iusto asperiores quidem dolorem perspiciatis.,,CC101,S102,,,,,,2026-01-11,dbaker,
CA,HOC,VHOC00036,3,6000,2026,202602,2026-02-13,2026-02-16,APINV,17629.9,,GBP,2,2,,SUPP7105,P,,,Voluptas rem facilis ratione accusamus modi.,,CC100,S200,,,,,,2026-03-27,dbaker,
CA,HOC,,1,5200,2026,202603,2026-03-11,2026-03-11,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C01
CA,HOC,VHOC_EC_C02,1,,2026,202603,2026-03-11,2026-03-11,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C02
CA,HOC,VHOC_EC_C03,1,5200,2026,202603,2026-03-11,2026-03-11,BACS,,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C03
CA,HOC,VHOC_EC_C04,1,5200,2026,202601,,2026-01-15,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C04
CA,HOC,VHOC_EC_C05,1,5200,2026,202602,2026-02-10,,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C05
CA,HOC,VHOC_EC_C07,1,5200,2026,202601,2026-01-20,2026-01-21,JRNL,1000.0,,GBP,1,1,,,,,,,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-C07
CA,HOC,VHOC_EC_V01,1,5200,2026,202601,2026-01-15,2026-01-15,BACS,1000.0,,GBP,9,9,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-V01
CA,HOC,VHOC_EC_V02,1,5200,2026,202604,2026-04-30,2026-04-30,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-V02
CA,HOC,VHOC_EC_V04,1,5200,2026,202601,2026-01-10,2026-03-26,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-V04
CA,HOC,VHOC_EC_V06,1,5200,2026,202602,2026-02-05,2026-02-05,BACS,1000.0,,EUR,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-V06
CA,HOC,VHOC_UNBAL01,1,1200,2026,202602,2026-02-20,2026-02-20,JRNL,750.0,,GBP,1,1,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
CA,HOC,VHOC_UNBAL01,2,5001,2026,202602,2026-02-20,2026-02-20,JRNL,750.0,,GBP,1,1,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
CA,HOC,VHOC_UNBAL01,3,4100,2026,202602,2026-02-20,2026-02-20,JRNL,1000.0,,GBP,2,2,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
CA,HOC,VHOC_EC_K02,1,5200,2026,202605,2026-03-15,2026-03-15,BACS,1000.0,,GBP,1,1,,,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-K02
CA,HOC,VHOC_EC_K03,1,5200,2026,202601,2026-01-25,2026-01-25,BACS,1000.0,,GBP,1,1,,SUPP9999,,,,Edge case row,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-K03
CM,HOC,VHOC00001,1,5200,2026,202603,2026-03-11,2026-03-11,BACS,1294.5,,GBP,1,1,,,,,,Ad eius dolore qui.,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,DQ-GJ-D01
CA,HOC,VHOC_YE13,1,7010,2026,202613,2026-03-31,2026-03-31,ACCRUAL,4764.52,,GBP,1,1,,,,,,Year-end adjustment period 13,,CC100,S101,,,,,,2026-03-31,jsmith,DQ-GJ-S02
CA,HOC,VHOC_YE13,2,5001,2026,202613,2026-03-31,2026-03-31,ACCRUAL,4472.37,,GBP,2,2,,,,,,Year-end adjustment period 13,,CC100,S101,,,,,,2026-03-31,jsmith,DQ-GJ-S02
